"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha1",8.4458329768628,0.0121637277649077,0.188337662219227,8.08569638231197,8.31725456580216,8.45620467884491,8.56663634721503,8.81502086619105,239.740257426806,1.01415746310344
"beta_we",3.75265226543995,0.00348510905204642,0.100291306718548,3.55391443541531,3.68596928644885,3.7476265757795,3.81850789471284,3.96013817383112,828.121071831236,1.00261154574644
"w_spline[1]",1.09096803732707,0.0241351917061081,0.35833508370758,0.39463688925224,0.854617433777178,1.0762944627458,1.32834203953707,1.79608899990483,220.433276675444,1.01348176139527
"w_spline[2]",0.700670053268912,0.00751381499085315,0.265270257830235,0.172511120882702,0.527451034827496,0.707495133712334,0.867568541745184,1.21845152151125,1246.39622263861,1.00263717101824
"w_spline[3]",1.2297114809554,0.0215148210191915,0.370908938049242,0.523295409808753,0.967785066057843,1.21521315148435,1.48878947453647,1.94793811933155,297.207060774082,1.00522316823354
"w_spline[4]",-0.122373842406249,0.0129493516857797,0.310061988548474,-0.751780177309017,-0.339010177626549,-0.114043134979209,0.0943082541884716,0.454740466745005,573.325164493403,1.0086172185203
"w_spline[5]",7.42456039967679,0.0154249775533021,0.2897163015537,6.8613478379121,7.23271349995222,7.41755469891191,7.61417907254404,7.97632520215664,352.774173879715,1.00551173044667
"sigma1",1.77794123573683,0.00162887171789328,0.029947518432496,1.725761094939,1.75580555241591,1.77805168668996,1.79825305055507,1.83666205167398,338.024295534046,1.00402810364641
"mu_alpha",-0.00437197049866096,0.00036977888621362,0.00848504717896858,-0.0205476207779546,-0.0101677283356116,-0.00464028010524243,0.000999600238184458,0.0128349049610329,526.531432958488,1.00368496392648
"sigma_alpha",0.00375334242313531,0.000137568217112006,0.00289803129092861,9.00869708620159e-05,0.00138659404608605,0.00320540533372675,0.00567148014259272,0.0103295151131773,443.782245218771,0.99961820649936
"mu_phi",1.00079902731357,3.60591128312466e-05,0.0007863192960434,0.999200670663925,1.00030013202773,1.00081964477592,1.00132909099887,1.00233431349734,475.518909213886,1.00441238776046
"sigma_phi",0.000850780305010218,3.56673316139167e-05,0.000341016635808236,0.00040020047634808,0.000578484889414329,0.000786005701476799,0.00105857957162338,0.0016397583084865,91.4134062964576,1.02830255334959
"beta_we_drift",-0.00402048516915573,0.000358627036174604,0.00919978308299443,-0.0233293244583718,-0.00981739465564854,-0.00355515980358146,0.00219927393262856,0.0131887776507744,658.065496828126,1.00773389382958
"scale_sigma_eta",0.97588147752693,0.00467239355507803,0.113284973674112,0.786060043522628,0.89450360471208,0.968976441212823,1.04436838622259,1.23040356597214,587.848999959567,1.00241386789459
"alpha_inc_raw[1]",0.162269383385131,0.0319536991644713,0.957704494088688,-1.77592396429627,-0.456684556479907,0.16826566507682,0.813120484834722,2.04443365844743,898.29869039953,1.00368109554012
"alpha_inc_raw[2]",0.140268616471898,0.0727990377312087,1.01535827025354,-1.77425436369619,-0.535589427517715,0.0769049362759046,0.80359839731404,2.09189480724183,194.530338977247,1.01013502486954
"alpha_inc_raw[3]",-0.0225053322446883,0.0479526979262391,0.991106463007669,-1.93325610516716,-0.671637656761275,-0.0415306461194208,0.654156211406766,1.96284485996362,427.183552655522,1.00245871695191
"alpha_inc_raw[4]",0.011995876801829,0.0466527538855829,0.983384866420159,-1.81625870520464,-0.652395350972205,-0.0567821147523362,0.701862871160972,1.96646835091532,444.31653038463,1.00333582832008
"alpha_inc_raw[5]",-0.0979862594354512,0.025998446573788,0.971810213121317,-2.07733166307057,-0.724315204673948,-0.083375278045396,0.513607932985792,1.81283056126414,1397.23069923728,1.00130898982475
"alpha_inc_raw[6]",-0.0512476631779811,0.0349929695391445,0.972769612342754,-1.88122899467157,-0.756949318850677,-0.0691972487478489,0.636001665012748,1.90256386418571,772.784483816476,1.0001204448622
"alpha_inc_raw[7]",-0.0440177954946257,0.0624233258029228,1.02267975192439,-2.05104787500214,-0.717402743752986,-0.0907181583922723,0.676066542130657,1.82504520834573,268.401851940149,1.00596175814718
"alpha_inc_raw[8]",-0.0675935921964495,0.0707252592915543,1.02885906540122,-1.87139131298761,-0.825579621687546,-0.0676890109586451,0.644836330925259,1.93001394883515,211.622909227892,1.01104431360383
"alpha_inc_raw[9]",0.100449640652909,0.0532981843925473,1.01672384520703,-1.97273244281695,-0.613110043906148,0.136382543751358,0.822430909344794,1.99800124992726,363.899273342021,1.00046862295014
"alpha_inc_raw[10]",-0.0143768455358833,0.0594553424164539,1.01837502428355,-2.02275279016746,-0.66767643860821,-0.0731032802957627,0.695417322726736,1.86587598597438,293.382165633129,1.00539909341481
"alpha_inc_raw[11]",0.07038332131986,0.0437430856031713,0.96673929611935,-1.82968127223295,-0.590970227175121,0.0658504057164824,0.781502154327046,1.85181107074054,488.427283103447,1.00385325687134
"alpha_inc_raw[12]",0.0633224999949047,0.0288163971836926,0.936225220612265,-1.78251124598103,-0.591272694392432,0.0736209021627694,0.679643792556871,1.91689891840929,1055.55607475735,1.00093634117285
"alpha_inc_raw[13]",-0.256949797339512,0.105357021003866,1.06393564336995,-2.71828460605647,-0.880762708506545,-0.191841106145501,0.471196976357666,1.62455162688038,101.977357144976,1.01109841967993
"alpha_inc_raw[14]",0.0609268785658887,0.0834375771010688,1.01962840528348,-1.94221328709185,-0.65681950676414,0.0302293784594095,0.71754006882538,1.96423827548041,149.334613672317,1.00699469970648
"alpha_inc_raw[15]",-0.0540087684559582,0.0300230423045052,0.957351844150301,-2.05859000250957,-0.695237988057762,-0.0425111678924914,0.622856902878785,1.71503409373835,1016.79583830325,1.00119200930228
"alpha_inc_raw[16]",-0.0189901801932032,0.0494184068831997,0.967074467028622,-1.84467821572529,-0.701666391444321,-0.0352593092110053,0.634767790903563,1.94028303757987,382.95024573838,1.00056588065761
"alpha_inc_raw[17]",0.0168682337196929,0.0516242988581539,0.975659761990607,-1.96161185749136,-0.579932975104887,0.012718478244078,0.654161863215547,1.86227716627491,357.181088095568,1.00276700943434
"alpha_inc_raw[18]",0.0544862806655104,0.0350697634486036,0.984086141534946,-1.86521804514737,-0.66627878903035,0.0743574962210871,0.726355018389508,2.00220054146867,787.409334159329,1.00164173741247
"alpha_inc_raw[19]",-0.103882883781865,0.0263461370037216,0.944370016689424,-1.93861036404825,-0.726228598062054,-0.125057954461929,0.549212145157697,1.76639008991749,1284.8442585675,1.00212392279589
"alpha_inc_raw[20]",0.147485148072033,0.0827512439340567,1.05075397692189,-1.86713484654337,-0.582769433431475,0.12162465803557,0.930986279802058,2.08177785240457,161.232661494438,1.02027906316165
"alpha_inc_raw[21]",0.067360097613972,0.050925093670164,0.957623129997285,-1.72879018428223,-0.583826411374849,0.0331290561711893,0.735323584130145,1.97442933148262,353.610849474959,1.00351027678475
"alpha_inc_raw[22]",-0.125778990799524,0.0306955614870463,0.989703870658655,-2.08371431339939,-0.792474942836463,-0.124486299682505,0.549326748298678,1.79521737154148,1039.58348978808,1.00277086647044
"alpha_inc_raw[23]",0.0500388308644246,0.025246872768391,0.943688878392876,-1.77773114368636,-0.551144426801267,0.00428541310498213,0.672247401356296,1.96065609386578,1397.14824891723,1.00320057982613
"alpha_inc_raw[24]",0.00880866776484324,0.0221904772007246,0.926811343648316,-1.86088810602002,-0.571935678617838,0.00531085735328179,0.612576010595122,1.88524452395756,1744.41333479087,1.00070994387252
"alpha_inc_raw[25]",-0.0317012947983368,0.0377397571588159,0.987059153992232,-1.89721775529538,-0.757973631753759,-0.0214109755937301,0.633473834997729,1.88450176273024,684.050490109965,1.00324833648226
"alpha_inc_raw[26]",0.039566770902033,0.0382471320743701,0.988821789317609,-1.87320783993518,-0.636562034531659,0.0210469833724105,0.732755655478812,2.02694079337732,668.402867720891,1.00036854896003
"alpha_inc_raw[27]",0.00258485225317864,0.0271951692065695,0.956536194982095,-1.9210554083871,-0.618387719760868,-0.0457143880692192,0.681213432371702,1.83100161522571,1237.14124428887,1.00159426646347
"alpha_inc_raw[28]",-0.0509087896931555,0.0459867085158363,0.973940020274591,-1.90883087170276,-0.719250559738498,-0.10692592869304,0.664188148301715,1.79864349937406,448.538546411535,1.00052905627204
"alpha_inc_raw[29]",-0.00393714041524746,0.0303427358513771,0.967224608392053,-1.92056480217579,-0.633389493296237,0.00297422555836996,0.656063285002028,1.78373595825437,1016.12047403498,1.00145702559934
"alpha_inc_raw[30]",0.0919250017817094,0.0239951306085809,0.907340420700178,-1.75692501421313,-0.524920986843585,0.162836360824552,0.686296731267579,1.89437646587007,1429.86251393268,1.00496679815112
