"ordre","parada","phi","sigma_min","amp_cum","irrecov_index","prob_amp_cum_gt1","prob_phi_gt1","sens_min_por_min_origen"
2,2984,1.00102830567819,1.6358269184497,1.00102830567819,1.63751037909895,0.806333333333333,0.806333333333333,1.00102830567819
37,2583,1.00060371762929,1.24872051570808,1.02972361553314,1.28581948923751,0.854,0.732,1.02972361553314
15,168,1.00091530650675,1.1875554473748,1.0106760611033,1.20024026081142,0.837333333333333,0.805,1.0106760611033
38,2590,1.00014762295468,1.12147540300996,1.02989688574373,1.154996972234,0.847333333333333,0.579666666666667,1.02989688574373
12,1253,1.00077924735587,1.13131018329796,1.00839126899154,1.14080898558813,0.84,0.775333333333333,1.00839126899154
39,603,1.00141188772447,1.10101846284012,1.03137317963929,1.13556748091561,0.854,0.902666666666667,1.03137317963929
18,1080,1.00062227416503,1.12047209807851,1.01259817788204,1.13458652589424,0.833,0.740666666666667,1.01259817788204
19,146,1.00056666812019,1.10661085381283,1.01318196417388,1.12119739001017,0.828666666666667,0.707333333333333,1.01318196417388
8,1577,1.00035944413751,1.070041495523,1.00504750189846,1.07544200284171,0.820333333333333,0.655666666666667,1.00504750189846
20,1089,1.00035459232173,1.05181795478034,1.01355215156934,1.06609151039823,0.824666666666667,0.644666666666667,1.01355215156934
4,3649,1.00070507990467,1.05780495578271,1.00256275840162,1.06051673737901,0.836333333333333,0.757666666666667,1.00256275840162
29,705,1.00075720310142,1.01603123269018,1.02306544665046,1.03945327262598,0.857,0.767333333333333,1.02306544665046
13,1554,1.00115963333455,1.01760562274327,1.00956743537308,1.02734181779914,0.845666666666667,0.854333333333333,1.00956743537308
32,946,1.00083241408131,0.966615652547411,1.02580620040468,0.991555761487326,0.858333333333333,0.776,1.02580620040468
10,109,1.00100194485645,0.972755759295654,1.0068021937222,0.979369303601016,0.832666666666667,0.825333333333333,1.0068021937222
35,3284,1.00114620693061,0.947271617741978,1.02816832208809,0.973941076064872,0.859333333333333,0.842333333333333,1.02816832208809
9,990,1.00073448235932,0.959982190982799,1.00578972282839,0.965546404480086,0.821333333333333,0.758,1.00578972282839
36,3282,1.00086935113278,0.936848913779096,1.02908205491989,0.964093970628866,0.857,0.791666666666667,1.02908205491989
30,9979,1.00125369224648,0.928766678334837,1.02436510997175,0.95141253961547,0.861666666666667,0.871,1.02436510997175
11,396,1.00078724236192,0.938779167218579,1.00760010061816,0.945907665128723,0.834333333333333,0.775333333333333,1.00760010061816
33,947,1.00048237293024,0.907201445240878,1.02631821836054,0.931087829028243,0.856333333333333,0.700666666666667,1.02631821836054
16,929,1.00059757712635,0.915393559509525,1.01128795975501,0.925729665333506,0.837,0.734,1.01128795975501
21,213,1.00134732278041,0.903647389029851,1.01492882300332,0.917136864714044,0.829666666666667,0.879,1.01492882300332
7,709,1.00066154383969,0.864971678898172,1.00468293787961,0.869022362091188,0.833,0.739333333333333,1.00468293787961
23,949,1.00077900274159,0.837781893132849,1.01646494409813,0.851559647924938,0.831333333333333,0.778,1.01646494409813
17,94,1.00065529868059,0.840986585037542,1.01195944933427,0.85104507483927,0.832666666666667,0.741333333333333,1.01195944933427
5,3747,1.00091006011077,0.827191425067657,1.00347706428117,0.830066732876015,0.841,0.812,1.00347706428117
28,2736,1.00117384752561,0.795135466162921,1.02227605724648,0.812841895578383,0.855666666666667,0.872333333333333,1.02227605724648
31,2492,1.00054053866551,0.784863636100331,1.02493503369201,0.804430696733214,0.860666666666667,0.71,1.02493503369201
3,2685,1.00082547096707,0.79360479433575,1.00185523978328,0.795077039361578,0.827,0.779,1.00185523978328
26,212,1.00146952410558,0.767513755249435,1.01998214982835,0.782840173962414,0.848,0.923,1.01998214982835
24,913,1.00130333235861,0.766084539937694,1.01780268327122,0.779727039235024,0.841333333333333,0.880333333333333,1.01780268327122
34,327,1.00061859449283,0.739473808534769,1.02697073592375,0.759409228409735,0.855,0.739666666666667,1.02697073592375
14,1099,1.00016838517165,0.733697748826107,1.00974432701518,0.740848207803838,0.836333333333333,0.586,1.00974432701518
22,3907,1.00071032249049,0.723884422330418,1.01566118966571,0.735235044264932,0.831333333333333,0.761333333333333,1.01566118966571
27,2665,1.00104517161321,0.718719636380798,1.02106261956952,0.733857015189763,0.850666666666667,0.852,1.02106261956952
6,482,1.00053449717804,0.694320135422205,1.00401577453949,0.69710801842679,0.835,0.710666666666667,1.00401577453949
25,307,1.00064433085746,0.591381458386946,1.01847161786275,0.602311946527073,0.839333333333333,0.763333333333333,1.01847161786275
