par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
1543_1__6213_1,1543,1543_1,6213,6213_1,2984,2,12.733333333333348,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2685,3,12.449999999999932,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,3649,4,12.0,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,3747,5,11.0,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,482,6,11.56666666666672,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,709,7,11.366666666666674,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1577,8,10.899999999999977,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,990,9,10.516666666666652,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,109,10,8.466666666666697,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,396,11,7.9833333333333485,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1253,12,9.666666666666629,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1554,13,9.983333333333348,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1099,14,11.166666666666629,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,168,15,10.766666666666765,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,929,16,11.616666666666674,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1080,18,12.950000000000045,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,146,19,14.049999999999955,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,1089,20,13.616666666666674,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,213,21,14.199999999999932,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,3907,22,15.100000000000023,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,949,23,14.133333333333326,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,913,24,14.399999999999977,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,307,25,14.899999999999977,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,212,26,15.983333333333348,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2665,27,13.883333333333326,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2736,28,15.033333333333303,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2492,31,16.366666666666674,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,946,32,16.73333333333335,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,947,33,16.31666666666672,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,3284,35,18.183333333333394,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2583,37,16.25,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,2590,38,14.583333333333371,10:02:48,10:15:32,10
1543_1__6213_1,1543,1543_1,6213,6213_1,603,39,14.850000000000023,10:02:48,10:15:32,10
1543_2__6213_2,1543,1543_2,6213,6213_2,3797,1,10.0,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,2984,2,10.149999999999977,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,2685,3,10.316666666666606,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,3649,4,10.083333333333371,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,3747,5,11.083333333333258,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,482,6,11.033333333333303,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,709,7,9.63333333333344,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1577,8,9.116666666666674,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,990,9,9.766666666666652,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,109,10,9.649999999999977,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,396,11,9.516666666666765,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1253,12,9.449999999999932,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1554,13,10.850000000000023,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1099,14,10.966666666666583,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,168,15,12.650000000000091,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,929,16,13.800000000000068,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,94,17,12.600000000000023,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1080,18,11.93333333333328,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,146,19,11.866666666666674,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,1089,20,11.300000000000068,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,213,21,11.899999999999977,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,3907,22,11.199999999999932,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,949,23,12.25,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,913,24,12.800000000000068,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,307,25,11.799999999999955,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,212,26,12.216666666666583,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,2665,27,12.800000000000068,12:47:59,12:57:59,12
1543_2__6213_2,1543,1543_2,6213,6213_2,2736,28,13.300000000000068,12:47:59,12:57:59,12
