par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
1610_1__6209_2,1610,1610_1,6209,6209_2,3797,1,9.016666666666652,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,2984,2,8.583333333333314,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,2685,3,8.416666666666686,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,3649,4,9.800000000000011,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,3747,5,9.949999999999989,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,482,6,9.800000000000011,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,709,7,9.966666666666697,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1577,8,9.950000000000045,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,990,9,11.53333333333336,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,109,10,10.416666666666686,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,396,11,10.033333333333303,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1253,12,9.666666666666686,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1554,13,10.166666666666629,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1099,14,9.966666666666697,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,168,15,10.516666666666708,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,929,16,8.983333333333292,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,94,17,10.183333333333337,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1080,18,8.733333333333348,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,146,19,8.516666666666708,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,1089,20,6.800000000000011,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,213,21,6.449999999999989,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,3907,22,6.550000000000011,07:19:59,07:29:00,7
1610_1__6209_2,1610,1610_1,6209,6209_2,949,23,6.0499999999999545,07:19:59,07:29:00,7
