par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
1827_3__6802_6,1827,1827_3,6802,6802_6,3797,1,10.0,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,2984,2,10.400000000000091,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,2685,3,10.333333333333485,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,3649,4,9.333333333333258,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,3747,5,8.516666666666652,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,482,6,8.549999999999955,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,709,7,9.450000000000045,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1577,8,8.550000000000182,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,990,9,8.083333333333485,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,109,10,8.533333333333303,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,396,11,7.7999999999999545,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1253,12,7.9500000000000455,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1554,13,9.049999999999955,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1099,14,9.566666666666606,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,168,15,10.583333333333258,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,929,16,9.433333333333394,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,94,17,9.966666666666697,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1080,18,9.283333333333303,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,146,19,8.11666666666656,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,1089,20,8.36666666666656,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,213,21,8.099999999999909,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,3907,22,9.050000000000182,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,949,23,8.700000000000045,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,913,24,8.983333333333348,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,307,25,9.0,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,212,26,9.099999999999909,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,2665,27,9.600000000000136,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,2736,28,8.916666666666742,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,705,29,7.7333333333333485,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,9979,30,7.366666666666788,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,2492,31,7.9833333333333485,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,946,32,9.233333333333348,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,947,33,8.5,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,327,34,8.666666666666742,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,3284,35,7.916666666666515,19:15:00,19:25:00,19
1827_3__6802_6,1827,1827_3,6802,6802_6,3282,36,7.0833333333332575,19:15:00,19:25:00,19
