par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
1562_2__6411_2,1562,1562_2,6411,6411_2,2685,3,2.1000000000000227,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,3649,4,2.2666666666666515,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,482,6,6.2999999999999545,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,709,7,7.149999999999977,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,1577,8,7.949999999999932,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,990,9,8.483333333333348,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,109,10,9.149999999999977,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,396,11,9.75,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,929,16,18.700000000000045,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,94,17,17.666666666666742,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,1080,18,19.26666666666665,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,146,19,19.850000000000023,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,1089,20,22.23333333333335,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,213,21,22.25,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,3907,22,22.43333333333328,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,949,23,22.966666666666697,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,913,24,23.01666666666665,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,307,25,23.06666666666672,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,212,26,22.75,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,2665,27,22.699999999999932,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,2736,28,23.533333333333303,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,705,29,22.98333333333335,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,9979,30,23.616666666666674,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,2492,31,22.93333333333328,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,946,32,21.81666666666672,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,947,33,23.26666666666665,09:15:01,09:17:07,9
1562_2__6411_2,1562,1562_2,6411,6411_2,327,34,23.133333333333326,09:15:01,09:17:07,9
1562_3__6402_4,1562,1562_3,6402,6402_4,3797,1,-1.8999999999999773,11:41:58,11:40:04,11
1562_3__6402_4,1562,1562_3,6402,6402_4,2984,2,1.3500000000000227,11:41:58,11:40:04,11
