par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6100_1__6216_7,6100,6100_1,6216,6216_7,2984,2,14.883333333333212,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,2685,3,13.716666666666697,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,3649,4,13.850000000000136,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,3747,5,14.183333333333394,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,482,6,14.033333333333303,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,709,7,13.316666666666606,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,1577,8,12.416666666666742,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,990,9,12.016666666666652,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,109,10,12.416666666666742,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,396,11,13.433333333333394,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,1253,12,13.266666666666652,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,1554,13,12.483333333333348,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,1099,14,13.683333333333394,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,168,15,14.299999999999955,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,929,16,15.199999999999818,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,94,17,15.166666666666742,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,1080,18,14.600000000000136,19:37:14,19:52:07,19
6100_1__6216_7,6100,6100_1,6216,6216_7,146,19,14.333333333333258,19:37:14,19:52:07,19
