par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6003_1__6215_1,6003,6003_1,6215,6215_1,2984,2,15.416666666666686,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,2685,3,15.150000000000034,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,3649,4,14.933333333333337,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,3747,5,14.5,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,482,6,15.466666666666697,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,709,7,14.883333333333383,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,1577,8,13.366666666666674,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,990,9,13.716666666666697,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,109,10,13.81666666666672,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,396,11,11.5,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,1554,13,12.733333333333348,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,1099,14,13.21666666666664,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,168,15,12.199999999999989,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,929,16,12.03333333333336,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,94,17,12.75,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,1080,18,12.316666666666663,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,146,19,12.983333333333292,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,1089,20,12.116666666666674,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,213,21,12.416666666666686,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,3907,22,13.350000000000023,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,949,23,12.483333333333292,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,913,24,13.350000000000023,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,307,25,14.066666666666663,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,212,26,13.933333333333337,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,2665,27,13.666666666666629,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,2736,28,14.300000000000011,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,705,29,13.783333333333303,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,9979,30,16.083333333333314,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,2492,31,15.899999999999977,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,946,32,15.866666666666674,04:26:37,04:42:02,4
6003_1__6215_1,6003,6003_1,6215,6215_1,947,33,15.433333333333337,04:26:37,04:42:02,4
