par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
3111_1__6125_3,3111,3111_1,6125,6125_3,2984,2,11.133333333333326,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,109,10,7.5,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,1554,13,6.033333333333417,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,929,16,6.533333333333417,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,94,17,6.166666666666629,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,1080,18,5.899999999999977,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,1089,20,4.899999999999977,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,213,21,4.449999999999932,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,3907,22,5.283333333333303,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,949,23,4.866666666666674,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,913,24,4.5,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,307,25,3.9500000000000455,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,212,26,3.0,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,2665,27,4.616666666666674,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,2736,28,4.899999999999977,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,705,29,4.2333333333333485,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,9979,30,5.216666666666697,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,2492,31,5.75,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,946,32,5.4500000000000455,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,947,33,6.2333333333333485,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,327,34,6.033333333333417,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,3284,35,6.18333333333328,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,3282,36,6.18333333333328,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,2583,37,5.116666666666674,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,2590,38,4.866666666666674,14:27:57,14:39:05,14
3111_1__6125_3,3111,3111_1,6125,6125_3,603,39,3.4500000000000455,14:27:57,14:39:05,14
