par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6021_1__6802_3,6021,6021_1,6802,6802_3,3797,1,11.983333333333348,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2984,2,13.166666666666742,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2685,3,13.049999999999955,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,3649,4,12.483333333333348,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,3747,5,12.800000000000068,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,482,6,12.783333333333417,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,709,7,13.283333333333303,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,1577,8,13.333333333333371,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,990,9,13.516666666666652,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,109,10,14.149999999999977,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,396,11,13.299999999999955,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,1253,12,13.399999999999977,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,1099,14,15.583333333333371,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,168,15,16.366666666666674,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,929,16,16.966666666666697,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,94,17,16.933333333333394,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,1080,18,17.833333333333258,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,146,19,16.949999999999932,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,1089,20,17.816666666666606,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,213,21,18.833333333333258,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,3907,22,19.066666666666606,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,949,23,18.783333333333303,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,913,24,19.149999999999977,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,307,25,19.183333333333394,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,212,26,19.200000000000045,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2665,27,18.633333333333326,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2736,28,19.699999999999932,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,705,29,20.43333333333328,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,9979,30,22.299999999999955,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2492,31,22.466666666666697,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,946,32,23.033333333333303,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,947,33,22.799999999999955,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,327,34,22.18333333333328,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,3284,35,22.699999999999932,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,3282,36,23.649999999999977,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2583,37,23.866666666666674,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,2590,38,23.449999999999932,08:32:00,08:43:59,8
6021_1__6802_3,6021,6021_1,6802,6802_3,603,39,23.25,08:32:00,08:43:59,8
6021_2__6802_4,6021,6021_2,6802,6802_4,3797,1,11.983333333333348,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2984,2,10.600000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2685,3,10.633333333333326,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,3649,4,12.666666666666742,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,3747,5,13.466666666666697,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,482,6,13.516666666666652,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,709,7,13.083333333333371,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1577,8,13.783333333333303,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,990,9,15.016666666666652,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,109,10,15.583333333333371,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,396,11,16.300000000000068,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1253,12,15.216666666666583,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1554,13,14.283333333333417,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1099,14,14.68333333333328,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,168,15,15.350000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,929,16,16.850000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,94,17,15.783333333333303,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1080,18,15.833333333333258,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,146,19,12.533333333333303,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,1089,20,12.166666666666742,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,213,21,11.683333333333394,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,3907,22,11.350000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,949,23,11.75,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,913,24,11.600000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,307,25,11.850000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,212,26,12.099999999999909,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2665,27,11.983333333333348,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2736,28,12.816666666666606,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,705,29,11.916666666666742,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,9979,30,11.283333333333417,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2492,31,11.300000000000068,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,946,32,11.733333333333235,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,947,33,12.100000000000023,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,327,34,11.449999999999932,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,3284,35,10.916666666666742,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,3282,36,10.200000000000045,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2583,37,10.983333333333348,11:17:00,11:28:59,11
6021_2__6802_4,6021,6021_2,6802,6802_4,2590,38,10.633333333333326,11:17:00,11:28:59,11
6021_3__6802_5,6021,6021_3,6802,6802_5,2984,2,9.649999999999977,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2685,3,9.733333333333348,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,3649,4,9.850000000000023,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,3747,5,9.81666666666672,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,482,6,8.700000000000045,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,709,7,8.166666666666629,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1577,8,9.600000000000023,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,990,9,9.0,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,109,10,9.083333333333258,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,396,11,8.583333333333371,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1253,12,9.150000000000091,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1554,13,9.766666666666652,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1099,14,9.399999999999977,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,168,15,10.25,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,929,16,11.299999999999955,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,94,17,11.18333333333328,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1080,18,12.600000000000023,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,146,19,11.100000000000023,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,1089,20,11.833333333333371,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,213,21,13.266666666666652,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,3907,22,12.516666666666652,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,949,23,12.800000000000068,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,913,24,13.733333333333348,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,307,25,13.450000000000045,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,212,26,13.666666666666629,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2665,27,13.866666666666674,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2736,28,13.966666666666583,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,705,29,13.783333333333303,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,9979,30,13.766666666666652,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2492,31,14.68333333333328,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,946,32,14.483333333333348,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,947,33,14.5,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,327,34,15.533333333333303,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,3284,35,14.633333333333326,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,3282,36,14.433333333333394,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2583,37,15.016666666666652,14:01:17,14:10:56,14
6021_3__6802_5,6021,6021_3,6802,6802_5,2590,38,15.283333333333303,14:01:17,14:10:56,14
6021_4__6802_6,6021,6021_4,6802,6802_6,3797,1,13.0,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2984,2,12.416666666666742,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2685,3,12.083333333333371,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,3649,4,14.099999999999909,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,3747,5,14.46666666666681,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,482,6,14.516666666666765,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,709,7,15.18333333333328,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1577,8,14.883333333333326,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,990,9,13.666666666666742,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,109,10,13.816666666666606,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,396,11,14.400000000000091,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1253,12,13.683333333333394,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1554,13,13.216666666666697,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1099,14,12.783333333333303,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,168,15,12.11666666666656,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,929,16,13.299999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,94,17,12.299999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1080,18,12.383333333333212,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,146,19,15.183333333333167,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,1089,20,16.083333333333258,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,213,21,16.799999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,3907,22,20.816666666666833,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,949,23,20.949999999999818,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,913,24,20.799999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,307,25,20.59999999999991,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,212,26,20.299999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2665,27,19.799999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2736,28,20.26666666666665,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,705,29,19.36666666666656,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,9979,30,19.049999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2492,31,18.73333333333335,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,946,32,18.049999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,947,33,18.299999999999955,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,327,34,18.433333333333394,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,3284,35,19.166666666666742,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,3282,36,17.916666666666742,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2583,37,19.166666666666515,16:46:00,16:59:00,16
6021_4__6802_6,6021,6021_4,6802,6802_6,2590,38,18.75,16:46:00,16:59:00,16
6021_5__6802_7,6021,6021_5,6802,6802_7,3797,1,14.983333333333348,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,2984,2,16.0,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,2685,3,15.466666666666697,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,3649,4,15.75,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,3747,5,16.01666666666665,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,482,6,16.083333333333258,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,709,7,17.23333333333335,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1577,8,16.666666666666515,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,990,9,16.416666666666515,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,109,10,16.116666666666788,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,396,11,15.71666666666647,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1253,12,16.133333333333212,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1554,13,14.783333333333303,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1099,14,14.25,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,168,15,15.899999999999864,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,929,16,16.28333333333353,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,94,17,16.316666666666606,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1080,18,16.116666666666788,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,146,19,16.01666666666665,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,1089,20,16.01666666666665,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,213,21,15.466666666666697,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,3907,22,16.133333333333212,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,949,23,15.116666666666788,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,913,24,14.616666666666788,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,307,25,14.933333333333167,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,212,26,14.600000000000136,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,2665,27,14.483333333333348,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,2736,28,15.200000000000045,19:35:00,19:49:59,19
6021_5__6802_7,6021,6021_5,6802,6802_7,705,29,15.016666666666652,19:35:00,19:49:59,19
