par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6026_1__6406_1,6026,6026_1,6406,6406_1,3797,1,8.983333333333348,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,2984,2,12.399999999999977,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,2685,3,14.433333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,3649,4,13.816666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,3747,5,15.683333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,482,6,15.066666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,709,7,16.083333333333314,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1577,8,16.433333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,990,9,18.850000000000023,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,109,10,19.91666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,396,11,21.316666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1253,12,21.08333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1554,13,21.566666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1099,14,21.41666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,168,15,20.716666666666697,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,929,16,21.23333333333335,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,94,17,19.933333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1080,18,22.466666666666697,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,146,19,21.26666666666665,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,1089,20,21.05000000000001,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,213,21,20.51666666666665,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,3907,22,20.41666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,949,23,21.033333333333303,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,913,24,20.933333333333337,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,307,25,21.399999999999977,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,212,26,21.666666666666686,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,2665,27,21.833333333333314,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,2736,28,21.43333333333328,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,705,29,21.633333333333383,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,9979,30,22.30000000000001,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,2492,31,22.216666666666697,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,946,32,22.083333333333314,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,947,33,23.66666666666663,06:22:00,06:30:59,6
6026_1__6406_1,6026,6026_1,6406,6406_1,327,34,23.51666666666665,06:22:00,06:30:59,6
6026_2__6406_2,6026,6026_2,6406,6406_2,3797,1,8.0,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2984,2,7.966666666666697,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2685,3,8.18333333333328,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,3649,4,9.116666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,3747,5,9.949999999999932,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,482,6,10.56666666666672,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,709,7,10.649999999999977,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1577,8,11.116666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,990,9,9.366666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,109,10,7.600000000000023,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,396,11,8.149999999999977,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1253,12,8.283333333333417,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1554,13,7.7333333333333485,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1099,14,8.116666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,168,15,8.483333333333348,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,929,16,7.5833333333332575,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,94,17,7.816666666666606,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1080,18,6.2333333333333485,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,146,19,5.7333333333333485,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,1089,20,6.116666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,213,21,6.7333333333333485,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,3907,22,6.616666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,949,23,5.783333333333303,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,913,24,5.716666666666697,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,307,25,7.2666666666666515,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,212,26,8.316666666666606,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2665,27,7.583333333333371,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2736,28,6.9500000000000455,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,705,29,5.783333333333303,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,9979,30,4.816666666666606,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2492,31,4.149999999999977,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,946,32,3.5833333333332575,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,947,33,3.4166666666666288,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,327,34,3.283333333333303,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,3284,35,2.0333333333334167,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,3282,36,2.7000000000000455,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2583,37,4.116666666666674,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,2590,38,4.833333333333371,09:12:59,09:20:59,9
6026_2__6406_2,6026,6026_2,6406,6406_2,603,39,3.1333333333333258,09:12:59,09:20:59,9
6026_3__6406_3,6026,6026_3,6406,6406_3,3797,1,7.9833333333333485,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,2984,2,6.466666666666697,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,2685,3,5.93333333333328,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,3649,4,6.5166666666666515,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,3747,5,6.7333333333333485,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,482,6,7.350000000000023,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,709,7,7.0166666666666515,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1577,8,5.0166666666666515,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,990,9,4.683333333333394,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,109,10,3.6333333333333258,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,396,11,2.9166666666666288,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1253,12,3.6166666666666742,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1554,13,1.8333333333332575,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1099,14,1.933333333333394,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,168,15,3.033333333333303,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,929,16,3.5833333333333712,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,94,17,2.8833333333333258,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1080,18,5.0,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,146,19,6.466666666666697,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,1089,20,6.649999999999977,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,213,21,5.5166666666666515,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,3907,22,6.533333333333303,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,949,23,6.716666666666697,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,913,24,6.9833333333333485,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,307,25,7.199999999999932,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,212,26,7.383333333333326,11:57:59,12:05:58,11
6026_3__6406_3,6026,6026_3,6406,6406_3,2665,27,6.7666666666666515,11:57:59,12:05:58,11
