par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6034_1__6406_2,6034,6034_1,6406,6406_2,3797,1,9.0,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,2984,2,7.850000000000023,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,2685,3,8.21666666666664,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,3649,4,7.5,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,3747,5,5.900000000000034,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,482,6,5.0166666666666515,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,709,7,4.866666666666617,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,1577,8,5.433333333333337,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,990,9,6.416666666666629,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,109,10,5.233333333333292,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,396,11,4.366666666666674,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,1554,13,7.800000000000011,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,1099,14,7.2666666666666515,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,168,15,5.75,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,94,17,8.066666666666663,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,1080,18,8.183333333333337,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,146,19,6.266666666666708,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,1089,20,5.783333333333303,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,213,21,7.850000000000023,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,3907,22,6.866666666666617,06:22:00,06:31:00,6
6034_1__6406_2,6034,6034_1,6406,6406_2,913,24,6.5,06:22:00,06:31:00,6
